Дата;Печь;Время старта;Время завершения;Номер программы выпечки;Номер духовки;Количество духовок;Длительность
2024-10-31;Печь 1;2024-10-31 07:46:57;2024-10-31 08:00:36;1;1;2;0 days 00:13:39
2024-10-31;Печь 2;2024-10-31 14:13:04;2024-10-31 14:26:53;1;1;2;0 days 00:13:49
2024-10-31;Печь 3;2024-10-31 16:04:21;2024-10-31 16:18:00;1;1;1;0 days 00:13:39
2024-11-01;Печь 2;2024-11-01 07:20:57;2024-11-01 07:30:01;1;1;2;0 days 00:09:04
2024-11-01;Печь 3;2024-11-01 11:44:56;2024-11-01 11:58:25;1;1;1;0 days 00:13:29
2024-11-02;Печь 1;2024-11-02 11:42:34;2024-11-02 11:56:23;1;1;2;0 days 00:13:49
2024-10-31;Печь 2;2024-10-31 09:35:15;2024-10-31 09:48:54;1;2;2;0 days 00:13:39
2024-10-31;Печь 1;2024-10-31 17:10:53;2024-10-31 17:22:12;1;2;2;0 days 00:11:19
2024-11-01;Печь 1;2024-11-01 14:02:51;2024-11-01 14:16:40;1;2;2;0 days 00:13:49
2024-11-01;Печь 1;2024-11-01 17:38:10;2024-11-01 17:51:49;1;2;2;0 days 00:13:39
2024-11-02;Печь 1;2024-11-02 10:09:01;2024-11-02 10:22:30;1;2;2;0 days 00:13:29
2024-10-31;Печь 3;2024-10-31 11:26:23;2024-10-31 11:51:32;2;1;1;0 days 00:25:09
2024-11-01;Печь 3;2024-11-01 11:12:55;2024-11-01 11:38:44;2;1;1;0 days 00:25:49
2024-11-01;Печь 2;2024-11-01 18:02:19;2024-11-01 18:26:18;2;1;2;0 days 00:23:59
2024-10-31;Печь 2;2024-10-31 06:14:16;2024-10-31 06:41:05;2;2;2;0 days 00:26:49
2024-10-31;Печь 2;2024-10-31 08:31:39;2024-10-31 08:58:28;2;2;2;0 days 00:26:49
2024-10-31;Печь 2;2024-10-31 15:19:53;2024-10-31 15:45:52;2;2;2;0 days 00:25:59
2024-11-01;Печь 2;2024-11-01 06:15:08;2024-11-01 06:41:57;2;2;2;0 days 00:26:49
2024-11-01;Печь 1;2024-11-01 07:20:56;2024-11-01 07:47:15;2;2;2;0 days 00:26:19
2024-11-01;Печь 2;2024-11-01 08:19:43;2024-11-01 08:46:12;2;2;2;0 days 00:26:29
2024-11-01;Печь 2;2024-11-01 11:00:39;2024-11-01 11:26:38;2;2;2;0 days 00:25:59
2024-11-02;Печь 2;2024-11-02 06:16:06;2024-11-02 06:42:55;2;2;2;0 days 00:26:49
2024-11-02;Печь 1;2024-11-02 07:23:01;2024-11-02 07:49:10;2;2;2;0 days 00:26:09
2024-11-02;Печь 2;2024-11-02 08:11:11;2024-11-02 08:37:00;2;2;2;0 days 00:25:49
2024-11-02;Печь 1;2024-11-02 11:23:41;2024-11-02 11:49:20;2;2;2;0 days 00:25:39
2024-10-31;Печь 1;2024-10-31 08:02:38;2024-10-31 08:05:47;3;1;2;0 days 00:03:09
2024-10-31;Печь 1;2024-10-31 10:44:00;2024-10-31 10:47:29;3;1;2;0 days 00:03:29
2024-10-31;Печь 2;2024-10-31 11:57:51;2024-10-31 12:01:01;3;1;2;0 days 00:03:10
2024-10-31;Печь 2;2024-10-31 15:25:00;2024-10-31 15:28:19;3;1;2;0 days 00:03:19
2024-11-02;Печь 1;2024-11-02 11:34:06;2024-11-02 11:37:55;3;1;2;0 days 00:03:49
2024-10-31;Печь 2;2024-10-31 07:39:32;2024-10-31 07:42:41;3;2;2;0 days 00:03:09
2024-10-31;Печь 1;2024-10-31 17:03:53;2024-10-31 17:06:22;3;2;2;0 days 00:02:29
2024-10-31;Печь 2;2024-10-31 18:34:27;2024-10-31 18:37:06;3;2;2;0 days 00:02:39
2024-11-01;Печь 2;2024-11-01 07:35:59;2024-11-01 07:39:18;3;2;2;0 days 00:03:19
2024-11-01;Печь 2;2024-11-01 12:42:06;2024-11-01 12:45:15;3;2;2;0 days 00:03:09
2024-11-01;Печь 1;2024-11-01 17:08:11;2024-11-01 17:11:20;3;2;2;0 days 00:03:09
2024-11-01;Печь 2;2024-11-01 18:35:15;2024-11-01 18:37:54;3;2;2;0 days 00:02:39
2024-10-31;Печь 3;2024-10-31 07:07:36;2024-10-31 07:31:35;4;1;1;0 days 00:23:59
2024-10-31;Печь 1;2024-10-31 12:52:56;2024-10-31 13:16:25;4;1;2;0 days 00:23:29
2024-10-31;Печь 3;2024-10-31 14:16:24;2024-10-31 14:39:14;4;1;1;0 days 00:22:50
2024-11-01;Печь 2;2024-11-01 06:13:12;2024-11-01 06:38:01;4;1;2;0 days 00:24:49
2024-11-01;Печь 1;2024-11-01 07:06:53;2024-11-01 07:17:28;4;1;2;0 days 00:10:35
2024-11-01;Печь 3;2024-11-01 10:00:39;2024-11-01 10:24:18;4;1;1;0 days 00:23:39
2024-11-01;Печь 3;2024-11-01 12:18:20;2024-11-01 12:41:49;4;1;1;0 days 00:23:29
2024-11-01;Печь 1;2024-11-01 17:43:29;2024-11-01 18:06:47;4;1;2;0 days 00:23:18
2024-11-02;Печь 2;2024-11-02 06:13:50;2024-11-02 06:38:38;4;1;2;0 days 00:24:48
2024-11-02;Печь 1;2024-11-02 07:07:16;2024-11-02 07:17:48;4;1;2;0 days 00:10:32
2024-11-02;Печь 3;2024-11-02 10:15:33;2024-11-02 10:39:12;4;1;1;0 days 00:23:39
2024-10-31;Печь 2;2024-10-31 11:56:39;2024-10-31 12:20:18;4;2;2;0 days 00:23:39
2024-10-31;Печь 2;2024-10-31 14:50:43;2024-10-31 15:15:11;4;2;2;0 days 00:24:28
2024-11-01;Печь 1;2024-11-01 06:53:29;2024-11-01 07:17:18;4;2;2;0 days 00:23:49
2024-11-01;Печь 2;2024-11-01 10:09:22;2024-11-01 10:33:21;4;2;2;0 days 00:23:59
2024-11-01;Печь 2;2024-11-01 12:47:23;2024-11-01 13:11:12;4;2;2;0 days 00:23:49
2024-11-01;Печь 2;2024-11-01 14:05:13;2024-11-01 14:28:41;4;2;2;0 days 00:23:28
2024-11-01;Печь 1;2024-11-01 16:41:35;2024-11-01 17:04:54;4;2;2;0 days 00:23:19
2024-11-02;Печь 2;2024-11-02 10:25:57;2024-11-02 10:50:26;4;2;2;0 days 00:24:29
2024-10-31;Печь 2;2024-10-31 07:39:07;2024-10-31 07:45:36;5;1;2;0 days 00:06:29
2024-10-31;Печь 1;2024-10-31 12:41:33;2024-10-31 12:47:52;5;1;2;0 days 00:06:19
2024-10-31;Печь 3;2024-10-31 13:15:46;2024-10-31 13:21:44;5;1;1;0 days 00:05:58
2024-11-01;Печь 2;2024-11-01 07:35:32;2024-11-01 07:41:51;5;1;2;0 days 00:06:19
2024-11-01;Печь 1;2024-11-01 14:08:38;2024-11-01 14:14:57;5;1;2;0 days 00:06:19
2024-11-01;Печь 3;2024-11-01 16:34:47;2024-11-01 16:40:46;5;1;1;0 days 00:05:59
2024-10-31;Печь 1;2024-10-31 07:56:41;2024-10-31 08:02:10;5;2;2;0 days 00:05:29
2024-10-31;Печь 2;2024-10-31 09:19:43;2024-10-31 09:25:52;5;2;2;0 days 00:06:09
